Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
14.01.2026,165.146,161.974,165.146,161.974,"9,93B","1,96%"
13.01.2026,161.973,163.146,163.146,161.765,"9,67B","-0,72%"
12.01.2026,163.150,163.37,163.493,162.277,"6,90B","-0,13%"
09.01.2026,163.370,162.938,164.263,162.638,"8,30B","0,27%"
08.01.2026,162.936,161.975,162.936,161.748,"8,61B","0,59%"
07.01.2026,161.975,163.661,163.661,161.746,"8,85B","-1,03%"
06.01.2026,163.664,161.87,164.135,161.87,"8,41B","1,11%"
05.01.2026,161.870,160.542,162.166,160.215,"7,99B","0,83%"
02.01.2026,160.539,161.124,161.957,160.059,"7,46B","-0,36%"
30.12.2025,161.125,160.491,162.075,160.491,"5,87B","0,40%"
29.12.2025,160.490,160.897,161.133,159.702,"5,61B","-0,25%"
26.12.2025,160.897,160.456,160.913,159.359,"4,79B","0,27%"
23.12.2025,160.456,158.144,160.456,158.144,"6,57B","1,46%"
22.12.2025,158.142,158.48,158.634,157.306,"8,42B","-0,21%"
19.12.2025,158.473,157.928,159.552,157.906,"9,95B","0,35%"
18.12.2025,157.923,157.327,158.495,157.124,"7,80B","0,38%"
17.12.2025,157.327,158.578,158.611,156.351,"11,34B","-0,79%"
16.12.2025,158.578,162.482,162.482,158.558,"9,92B","-2,40%"
15.12.2025,162.482,160.766,163.073,160.766,"8,23B","1,07%"
